reich	rich
Quatsch!	nonsense! ('Q_')
zum Frühstück	for breakfast, at breakfast
weder ... noch ...	neither ... nor ...
Auf Wiederhören!	Goodbye! (on the telephone)
usw. (und so weiter)	etc. (and so on)
dreisprachig	trilingual
Anfang Juli	beginning of July
in der Vergangenheit	in the past
Kann Ich Ihnen Helfen?	May I help you? (formal) ('Kann_')
radikal	radical, radically, sweeping
auf einmal	suddenly, all of a sudden, in a single stroke, at once ('a~')
zum Geburtstag	for sb's birthday, for one's birthday
neblig	foggy, hazy, misty
halb drei	half past two
in erster Linie	first and foremost ('in_')
Von wegen!	my butt! my eye! are you kidding me! You must be joking! (2 part phrase) ('V_')
eine Tasse Kaffee	a cup of coffee
industrialisiert	industrialised
Sehr geehrte Frau	Dear Madam
ab und zu	now and then, now and again (3 part phrase)
waschbar	washable
bodenlos	bottomless
Mit freundlichen Grüßen	Yours sincerely ('M_')
verfügbar	available, obtainable, procurable ('v_')
Elektronische Datenverarbeitung (EDV)	electronic data processing (EDP)
jedes Mal	each time, every time, whenever (2 parts)
noch mal	again, once again (2 part phrase (not 'noch einmal') ('n_')
so schnell wie möglich	as fast as possible ('so_')
immer mehr	more and more ('i_')
Danke.	Thank you.
mittellang	of medium length
wie viele	how many
Österreich	Austria
drei Euro das Stück	three euros apiece
vor allem	above all (2 part phrase)('vor_')
abgesehen von	apart from (2 part phrase)
Bis später!	See you later! ('Bis s_')
Keine Angst!	Fear not!, Don't be afraid! No worries! Don't worry! ('Keine A_')
handgestrickt	hand-knitted
durcheinander	confused, flustered, distraught, messy, muddeled, jumbled (not 'unordentlich')
zum Mittagessen	for lunch, at lunch
damalig	then (e.g. the then President)
stattdessen	instead, instead of, in lieu of ('s_')
zum Abendessen	for supper, at supper
im Freien	outdoors, in the open air
vor kurzem	not long ago, recently, a short while ago (2 parts)
unbedingt	absolutely, absolute, imperative, unconditional, unconditionally (not 'absolut')
manuell	manual, manually, by hand
umgeben von	surrounded by
chemiefrei	chemical-free
gängig	well-established, prevalent, widespread, current, popular
auffällig	conspicuous, noticeable, prominent, striking (not 'aufmerksam')
zu zweit	as a pair, in twos
übergeschnappt	crazy ('ü_')
Neuseeland	New Zealand
Frohe Weihnachten!	Merry Christmas!
ins Bett	(go) to bed
eines Tages	one day, some day, eventually
Wie ist das Wetter?	How is the weather?
Gott sei Dank!	Thank God!
heute abend	this evening
Auf diese Weise	in this way
Heute habe ich frei.	I have today free, I'm free today, today I have the day off
im Laufe (+ Gen.)	in the course ... ('im L_')
glaubhaft	credible, trustworthy, believable
Mist!	Damn! Shoot! "M_')
noch einmal	once more (not 'noch mal')
nichts als Ärger	nothing but trouble
beeindruckend	impressive, imposing, striking ('b_')
in aller Ruhe	in peace and quiet
während der Pause	during the intermission
eindrucksvoll	impressive, spectacular, striking ('e_')
unwichtig	unimportant, minor, petty
Wie viel Uhr ist es?	What time is it?
ein paar	some, a few, a couple, a sprinkling of (colloquial) (2 words)
zahnmedizinisch	dental (not 'zahnärztlich')
altmodisch	old-fashioned, outdated, obsolete, outmoded (not 'veraltet')
entschlossen	determined, resolute, intent, decisive
Sehr geehrter Herr	Dear Sir
gar nichts	nothing at all ('g_')
nördlich (von)	north (of)
sich umziehen	1. to move, to change residences. 2. to change clothes ('sich_')
in Bezug auf	in regard to, in reference to, with respect to, in relation to ('in B_')
noch nicht	not yet
dort unten	down there
sexuell	sexual
Bitte schön!	You're welcome.
Viel Glück!	Lots of luck!
letzte Nacht	last night
irgendwie	somehow, one way or another, kind of, in some way
Viertel nach elf	quarter after eleven
Zimmer frei	vacancies, rooms available
Er ist Arzt von Beruf.	He is a physician by trade.
von jetzt an	from now on ('v_'
tatsächlich	actually, actual, indeed, true ('t_')
heute morgen	this morning
Am Wievielten?	On what date?
Lieblings-	favorite-
im Durchschnitt	on average
irgendetwas	something or other
heimlich	secret, furtive, clandestine, hidden, covert (not "g..")
schattig	shady
am Apparat!	Speaking! (on the telephone)
Herein!	Come in!
Schade!	What a shame! Too bad!
niemand	nobody, no one
dauerhaft	durable, permanent, longlasting, stable, enduring (not 'a_')
außergewöhnlich	unusual, strange, extraordinary, exceptional, remarkable, extraordinarily (not 'aufmerksam,' 'außerordentlich')
inhaltlich	in terms of content, as regards content
tapfer	brave, valiant, bravely ('t_')
mutig	brave courageous, bold ('m_')
beachtlich	considerable, notable, remarkable ('bea_')
Auf Wiedersehen.	Good-bye.
Entschuldigung!	Sorry! Pardon! Excuse me! ('E_')
komplett	completely, entire, entirely, complete ('k_')
Ich möchte	I would like ...
Hallo!	Hello!
darüber	overhead, across, over it, about it, about that
baumlos	treeless
Er wird Koch.	He's going to become a cook.
überhaupt nicht	not at alll, not a bit, not in any way ('ü_')
Wie sagt man das?	How does one say that?
bisher	yet, heretofore, thus far, up to this point (not bislang), ('b_')
Guten Morgen!	Good Morning!
stehen bleiben	Freeze!, to stand still, to be left behind, to stop
einerseits ... andererseits	on the one hand ... on the other hand
Wie bitte?	Pardon? ('W_')
ganz kurz	very short
überholt	obsolete, outdated, antiquated, overtaken, superseded, overhauled, refurbished
anhaltend	persistent, lasting, sustained, continuing, prolonged ('an_')
innerhalb	within, inside, within the space of
Um wie viel Uhr?	At what time?
systematisch	methodical, systematic, systematically
jeglicher/ (jegliche/ jegliches)	any (whatsover), each (and every one) (not 'i_') (only masculine declension)
in der Tat	as a matter of fact, indeed, actually ('i_') (3 part phrase)
an bord	on board
hin und zurück	there and back
Wie heißen Sie?	What is your name? (polite)
danklos	thankless
Kein Problem!	No problem!
Guten Abend!	Good evening!
einzigartig	unique, singular (not 'eig_')
so genannt	so-called
genauso gut	just as good, just as well
maßgeblich	relevant, decisive, important, significant, substantial, instrumental
östlich (von)	east (of)
Guten Tag!	Good day!
meiner Meinung nach	in my opinion
heute Nachmittag	this afternoon
in der Öffentlichkeit	in public/ openly (3 words)
Viertel vor elf	quarter to eleven
letztes Jahr	last year
zum Nachtisch	for dessert
Island/ -	Iceland
sonstig	other ('s_')
ordnungsgemäß	properly, duly, proper (orderly) (not 'ordentlich') ('o_')
gehoben	sophisticated, upper, elevated, lofty, raised
heftig	fierce, severe, heavy, violent
Prima!	Great! Cool! ('P_')
z.B. (zum Beispiel)	e.g. (for example)
dort drüben	over there (2 words)
mit einem Mal	all of a sudden, suddenly ('m~')
entfallen	be dropped (was, were, been), be omitted, be canceled, lapsed, escape (sb), slip (sb's mind), been dropped
am Ende	at the end
besser als	better than
nicht mehr	no longer, not anymore
aufgrund	on the basis of, due to, by virtue of, because of, owing to (one word) ('au_')
sowohl ... als auch	both ... and
bezüglich	regarding (not 'betreffend') ('b_')
mittlerweile	in the meantime, meanwhile ('m_')
einzeln	individual, particular, distinct, single
restlich	remaining, the rest of, residual
bedroht (past p.)	threatened (past p.) ('b_')
vorstellbar	conceivable, imaginable, imaginably, conceivably, ('v_')
schrittweise	gradual, incremental, step by step, little by little
gleichermaßen	comparably, in equal measure, likewise, similarly ('g_')
größtenteils	largely, mostly, for the most part (1 word)
von selbst	by oneself, by itself, of ones own accord (2 words)
bisherig	previous, present, former, so far, until now (b~)
auf jeden Fall	in any case, in any event, anyway ('a_') (3 parts)
